Origin_State,Destination_State,Tourists_000,Is_Origin_Total,Is_Destination_Total,Year,Source_Report,Source_Table,Source_Sheet,Source_File
Pahang,Kedah,122.385,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Pahang,Kelantan,474.376,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Pahang,Melaka,134.318,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Pahang,Negeri Sembilan,221.144,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Pahang,Pahang,1981.222,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Pahang,Pulau Pinang,119.939,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Pahang,Perak,489.012,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Pahang,Perlis,25.78,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Pahang,Selangor,383.805,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Pahang,Terengganu,686.073,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Pahang,Sabah,61.941,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Pahang,Sarawak,8.744,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Pahang,W.P. Kuala Lumpur,467.78,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Pahang,W.P. Labuan,5.887,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Pahang,W.P. Putrajaya,23.758,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Pulau Pinang,Malaysia,4612.759,FALSE,TRUE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Pulau Pinang,Johor,124.816,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Pulau Pinang,Kedah,962.038,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Pulau Pinang,Kelantan,4.76,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Pulau Pinang,Melaka,210.415,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Pulau Pinang,Negeri Sembilan,67.787,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Pulau Pinang,Pahang,395.965,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Pulau Pinang,Pulau Pinang,523.113,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Pulau Pinang,Perak,487.147,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Pulau Pinang,Perlis,216.419,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Pulau Pinang,Selangor,354.503,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Pulau Pinang,Terengganu,489.885,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Pulau Pinang,Sabah,181.891,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Pulau Pinang,Sarawak,1.063,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Pulau Pinang,W.P. Kuala Lumpur,539.031,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Pulau Pinang,W.P. Labuan,7.956,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Pulau Pinang,W.P. Putrajaya,45.97,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Perak,Malaysia,6827.459,FALSE,TRUE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Perak,Johor,282.367,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Perak,Kedah,659.705,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Perak,Kelantan,245.397,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Perak,Melaka,202.444,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Perak,Negeri Sembilan,186.796,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
