Indicator,Year,Value,Unit,Annual_Change_Pct,Source_Report,Source_Table,Source_Sheet,Source_File
Number of Visitors,2024,260125.842,'000,21.6999761171734,Domestic Tourism Survey 2024: Publication Tables,"Table 1: Key Statistics of Domestic Tourism, 2017-2024",1,Publication Table DTS 2024 (1).xlsx
Number of Tourism Trips,2017,276147.263,'000,8.77163952764712,Domestic Tourism Survey 2024: Publication Tables,"Table 1: Key Statistics of Domestic Tourism, 2017-2024",1,Publication Table DTS 2024 (1).xlsx
Number of Tourism Trips,2018,302414.636522,'000,9.51208903417596,Domestic Tourism Survey 2024: Publication Tables,"Table 1: Key Statistics of Domestic Tourism, 2017-2024",1,Publication Table DTS 2024 (1).xlsx
Number of Tourism Trips,2019,332378.00327375,'000,9.90804119018566,Domestic Tourism Survey 2024: Publication Tables,"Table 1: Key Statistics of Domestic Tourism, 2017-2024",1,Publication Table DTS 2024 (1).xlsx
Number of Tourism Trips,2020,146990.0435746,'000,-55.7762420717302,Domestic Tourism Survey 2024: Publication Tables,"Table 1: Key Statistics of Domestic Tourism, 2017-2024",1,Publication Table DTS 2024 (1).xlsx
Number of Tourism Trips,2021,72398.831,'000,-50.7457585293821,Domestic Tourism Survey 2024: Publication Tables,"Table 1: Key Statistics of Domestic Tourism, 2017-2024",1,Publication Table DTS 2024 (1).xlsx
Number of Tourism Trips,2022,207785.257,'000,187.000845358953,Domestic Tourism Survey 2024: Publication Tables,"Table 1: Key Statistics of Domestic Tourism, 2017-2024",1,Publication Table DTS 2024 (1).xlsx
Number of Tourism Trips,2023,241474.125,'000,16.2133100713685,Domestic Tourism Survey 2024: Publication Tables,"Table 1: Key Statistics of Domestic Tourism, 2017-2024",1,Publication Table DTS 2024 (1).xlsx
Number of Tourism Trips,2024,297853.174,'000,23.3478634615613,Domestic Tourism Survey 2024: Publication Tables,"Table 1: Key Statistics of Domestic Tourism, 2017-2024",1,Publication Table DTS 2024 (1).xlsx
Average Length of Stay,2017,2.35,days,1.73160173160173,Domestic Tourism Survey 2024: Publication Tables,"Table 1: Key Statistics of Domestic Tourism, 2017-2024",1,Publication Table DTS 2024 (1).xlsx
Average Length of Stay,2018,2.44480035118648,days,4.03405749729703,Domestic Tourism Survey 2024: Publication Tables,"Table 1: Key Statistics of Domestic Tourism, 2017-2024",1,Publication Table DTS 2024 (1).xlsx
Average Length of Stay,2019,2.52,days,3.07590142389438,Domestic Tourism Survey 2024: Publication Tables,"Table 1: Key Statistics of Domestic Tourism, 2017-2024",1,Publication Table DTS 2024 (1).xlsx
Average Length of Stay,2020,1.93,days,-23.4126984126984,Domestic Tourism Survey 2024: Publication Tables,"Table 1: Key Statistics of Domestic Tourism, 2017-2024",1,Publication Table DTS 2024 (1).xlsx
Average Length of Stay,2021,2.18511018870828,days,13.2181444926572,Domestic Tourism Survey 2024: Publication Tables,"Table 1: Key Statistics of Domestic Tourism, 2017-2024",1,Publication Table DTS 2024 (1).xlsx
Average Length of Stay,2022,2.54676541235895,days,16.5508918277691,Domestic Tourism Survey 2024: Publication Tables,"Table 1: Key Statistics of Domestic Tourism, 2017-2024",1,Publication Table DTS 2024 (1).xlsx
Average Length of Stay,2023,2.44588867011607,days,-3.9609750373295,Domestic Tourism Survey 2024: Publication Tables,"Table 1: Key Statistics of Domestic Tourism, 2017-2024",1,Publication Table DTS 2024 (1).xlsx
Average Length of Stay,2024,2.49205843967323,days,1.88764804061869,Domestic Tourism Survey 2024: Publication Tables,"Table 1: Key Statistics of Domestic Tourism, 2017-2024",1,Publication Table DTS 2024 (1).xlsx
Average Expenditure per Trip,2017,300.936454365051,RM,2.35933821940512,Domestic Tourism Survey 2024: Publication Tables,"Table 1: Key Statistics of Domestic Tourism, 2017-2024",1,Publication Table DTS 2024 (1).xlsx
Average Expenditure per Trip,2018,306.072259657962,RM,1.70660789625738,Domestic Tourism Survey 2024: Publication Tables,"Table 1: Key Statistics of Domestic Tourism, 2017-2024",1,Publication Table DTS 2024 (1).xlsx
Average Expenditure per Trip,2019,310,RM,1.28327223983882,Domestic Tourism Survey 2024: Publication Tables,"Table 1: Key Statistics of Domestic Tourism, 2017-2024",1,Publication Table DTS 2024 (1).xlsx
Average Expenditure per Trip,2020,275,RM,-11.2903225806452,Domestic Tourism Survey 2024: Publication Tables,"Table 1: Key Statistics of Domestic Tourism, 2017-2024",1,Publication Table DTS 2024 (1).xlsx
Average Expenditure per Trip,2021,254.288549783352,RM,-7.53143644241737,Domestic Tourism Survey 2024: Publication Tables,"Table 1: Key Statistics of Domestic Tourism, 2017-2024",1,Publication Table DTS 2024 (1).xlsx
Average Expenditure per Trip,2022,308.396757821688,RM,21.27827150866,Domestic Tourism Survey 2024: Publication Tables,"Table 1: Key Statistics of Domestic Tourism, 2017-2024",1,Publication Table DTS 2024 (1).xlsx
Average Expenditure per Trip,2023,351.723498228691,RM,14.0490259083899,Domestic Tourism Survey 2024: Publication Tables,"Table 1: Key Statistics of Domestic Tourism, 2017-2024",1,Publication Table DTS 2024 (1).xlsx
Average Expenditure per Trip,2024,358.385004317227,RM,1.89396105807086,Domestic Tourism Survey 2024: Publication Tables,"Table 1: Key Statistics of Domestic Tourism, 2017-2024",1,Publication Table DTS 2024 (1).xlsx
